""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"RECEITAS"
"Serviços";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"32.960,00";"29.530,00";"36.210,00";"19.055,00";"20.105,00";"20.050,00";"25.000,00";"30.174,00";"27.155,00";"27.440,00";"28.810,00";"28.785,00";"50.813,20";"53.225,30";"54.305,60";"31.333,40";"36.699,80";"30.554,40";"31.566,60";"34.371,75";"32.580,25";"35.838,95";"32.734,95";"34.362,00";"55.988,00";"57.979,00";"53.603,00";"33.648,00";"26.349,00";"43.160,00";"31.480,00";"36.290,00";"40.001,00";"36.579,00";"37.637,00";"37.980,00";"51.714,00";"62.454,00";"51.985,00";"44.802,00";"32.700,00";"37.861,00";"38.885,20";"46.721,00";"45.946,00";"45.127,00";"52.818,50";"57.412,10";"0,00";"1.842.780,00"
"Produtos";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6.047,61";"2.447,40";"3.270,33";"2.125,25";"1.383,32";"1.427,17";"1.932,60";"1.917,64";"1.423,08";"1.854,15";"2.737,69";"1.819,76";"3.351,37";"3.177,94";"4.028,55";"1.880,53";"1.708,42";"1.133,20";"1.674,32";"1.640,80";"1.718,86";"1.308,90";"1.971,31";"1.600,53";"3.405,52";"4.496,39";"3.524,51";"2.603,15";"1.095,76";"3.282,02";"1.938,35";"2.785,67";"2.696,40";"3.280,94";"2.040,30";"1.637,92";"4.784,61";"3.234,15";"2.750,31";"2.803,26";"1.432,21";"1.832,10";"1.396,20";"2.247,51";"1.472,82";"2.369,71";"2.518,60";"7.386,43";"0,00";"120.595,57"
"Pacotes";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.295,00";"2.720,00";"2.550,00";"3.230,00";"2.125,00";"2.465,00";"2.465,00";"3.230,00";"1.870,00";"2.890,00";"2.295,00";"5.015,00";"3.070,00";"3.400,00";"3.060,00";"2.975,00";"3.145,00";"3.145,00";"2.040,00";"3.230,00";"2.550,00";"2.720,00";"2.380,00";"0,00";"85,00";"6.795,00";"5.130,00";"3.780,00";"3.240,00";"3.690,00";"3.555,00";"5.535,00";"4.500,00";"5.085,00";"5.265,00";"4.590,00";"5.625,00";"5.265,00";"4.590,00";"2.295,00";"585,00";"7.695,00";"4.005,00";"3.240,00";"3.420,00";"630,00";"0,00";"0,00";"0,00";"153.465,00"
"Vale Presente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"90,00";"0,00";"45,00";"210,00";"70,00";"0,00";"110,00";"55,00";"0,00";"299,40";"149,80";"60,00";"279,60";"49,90";"279,60";"0,00";"0,00";"69,90";"79,90";"0,00";"0,00";"177,00";"0,00";"148,00";"59,00";"207,00";"266,00";"0,00";"118,00";"178,00";"118,00";"59,00";"0,00";"388,00";"89,00";"0,00";"135,00";"45,00";"85,00";"0,00";"0,00";"45,00";"0,00";"316,00";"0,00";"0,00";"4.281,10"
"Crédito de Cliente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6,98";"0,00";"1,00";"0,00";"0,00";"75,00";"10,00";"45,10";"10,00";"0,00";"0,00";"0,10";"19,80";"13,00";"9,90";"70,00";"0,00";"50,20";"50,20";"15,90";"69,70";"0,80";"16,00";"32,00";"72,10";"125,00";"37,10";"55,00";"25,00";"67,00";"6,00";"5,00";"20,00";"25,00";"35,00";"5,00";"10,00";"47,00";"0,00";"15,20";"30,00";"175,10";"29,00";"42,00";"20,00";"52,00";"64,00";"163,00";"0,00";"1.620,18"
"Consumo de Pré-pago";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-45,00";"-60,00";"-60,00";"-105,00";"-130,00";"-35,00";"-10,00";"-55,00";"-69,80";"-184,70";"-209,70";"-249,70";"-154,80";"-169,70";"-221,59";"-105,50";"-55,50";"-60,60";"-100,60";"-146,80";"-194,90";"-169,10";"-264,00";"-99,00";"-104,00";"-394,00";"-123,00";"0,00";"-69,00";"-223,00";"-177,00";"-30,00";"-10,00";"-225,00";"-41,00";"-209,00";"-25,00";"-150,00";"-64,00";"-26,30";"-114,00";"-41,00";"-14,00";"-259,00";"0,00";"-5.254,29"
"Pagamento de Dívidas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Dívidas Deixadas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Vendas de Clube";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.835,00";"4.410,00";"1.575,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"90,00";"90,00";"90,00";"0,00";"270,00";"2.205,00";"3.690,00";"3.960,00";"0,00";"19.215,00"
"Total de Receitas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"41.309,59";"34.697,40";"42.031,33";"24.500,25";"23.568,32";"24.002,17";"29.557,60";"35.331,74";"30.328,08";"32.259,15";"33.887,69";"35.564,86";"57.483,97";"59.781,34";"61.254,35";"36.288,83";"41.448,32";"34.992,70";"35.109,53";"39.152,95";"36.933,21";"39.887,95";"37.001,66";"38.682,73";"63.942,72";"70.801,29";"62.178,61";"40.046,15";"30.812,76";"50.071,02";"36.856,35";"44.733,67";"47.326,40";"44.864,94";"44.859,30";"44.182,92";"62.511,61";"70.864,15";"59.284,31";"49.841,46";"34.857,21";"47.588,20";"44.341,40";"52.224,21";"51.059,82";"50.342,71";"59.393,10";"68.662,53";"0,00";"2.136.702,56"
""
"(-) DESPESAS"
"Despesas Fixas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"656,00";"10134,14";"14915,65";"15360,51";"13602,03";"11773,51";"13425,68";"14735,04";"12414,03";"15523,35";"15474,53";"14165,86";"17822,23";"12797,15";"17808,00";"21131,28";"15820,51";"16808,56";"13842,80";"18957,87";"14917,50";"16889,12";"17809,99";"22534,30";"12974,69";"18045,09";"12655,14";"15288,25";"13809,67";"10377,80";"9921,13";"921,99";"3218,94";"2265,38";"3989,21";"4256,85";"3957,72";"3855,04";"2399,98";"385,79";"0";"0";"0";"225,00";"0";"34,90";"104,60";"0";"0";"478006,81"
"ACICC (Inativa)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"34,85";"64,00";"65,34";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"164,19"
"Água e Saneamento";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"164,20";"244,65";"198,37";"169,45";"162,22";"133,30";"198,37";"376,60";"393,16";"241,77";"269,06";"269,06";"202,27";"0,00";"536,43";"232,55";"256,88";"210,22";"239,56";"251,11";"233,45";"298,80";"281,91";"248,01";"224,62";"359,74";"518,04";"281,91";"206,96";"352,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"7.755,19"
"Aluguel";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"236,00";"3.673,10";"3.673,10";"3.642,90";"3.642,90";"3.644,02";"3.642,90";"3.644,58";"3.642,90";"3.502,90";"4.000,00";"4.000,00";"4.003,50";"4.003,50";"4.346,50";"4.346,50";"4.346,50";"4.346,50";"4.346,50";"5.822,60";"5.108,86";"5.108,86";"5.108,86";"5.108,86";"4.631,46";"4.346,50";"4.782,60";"4.346,50";"4.494,34";"4.486,50";"4.486,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"128.517,24"
"Condomínio";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"140,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"268,84";"0,00";"0,00";"0,00";"0,00";"0,00";"268,84";"268,84";"604,90";"604,90";"940,96";"268,84";"268,84";"268,84";"268,84";"268,84";"268,84";"268,84";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"4.979,86"
"Contador";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"120,00";"595,00";"0,00";"595,00";"595,00";"595,00";"850,00";"850,00";"1.445,00";"850,00";"850,00";"850,00";"850,00";"1.700,00";"850,00";"850,00";"1.700,00";"896,33";"896,33";"896,33";"896,33";"896,33";"896,33";"1.135,33";"255,00";"660,00";"2.249,70";"300,00";"960,00";"660,00";"0,00";"0,00";"849,80";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"26.592,81"
"Insumos Café (Inativa)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"195,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"195,00"
"Internet";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"130,00";"132,74";"0,00";"262,64";"329,99";"130,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"985,37"
"Locação Geral / Aluguéis Maquinário";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"140,84";"141,68";"147,84";"147,84";"148,12";"149,52";"140,00";"140,00";"140,00";"140,00";"140,00";"140,00";"148,96";"148,40";"140,00";"140,00";"148,12";"147,56";"140,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.728,88"
