""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"RECEITAS"
"Serviços";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14.795,00";"23.179,16";"27.665,00";"16.100,00";"21.665,00";"28.695,00";"36.890,00";"39.860,00";"44.116,00";"43.669,10";"52.375,00";"59.662,50";"56.925,00";"66.235,00";"75.480,00";"47.310,00";"54.890,00";"61.687,00";"60.335,50";"70.065,00";"78.285,00";"76.550,00";"77.030,00";"78.260,00";"68.472,00";"71.742,00";"78.413,00";"44.252,00";"50.149,00";"58.878,00";"63.195,00";"68.674,00";"68.214,00";"72.325,00";"71.269,00";"69.952,00";"73.657,30";"87.786,00";"88.176,00";"57.162,00";"66.091,00";"72.665,00";"87.691,00";"87.970,59";"89.824,17";"86.428,38";"95.250,37";"90.502,19";"102.032,87";"99.421,76";"0,00";"3.181.917,89"
"Produtos";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"4.099,62";"2.442,57";"2.851,07";"1.125,46";"1.772,32";"2.149,35";"2.434,70";"1.938,88";"1.894,77";"1.545,52";"1.585,67";"2.442,49";"2.280,10";"2.154,73";"4.449,46";"2.051,65";"2.249,14";"3.170,77";"1.877,03";"3.816,19";"2.804,95";"2.800,24";"2.401,74";"2.940,73";"1.780,15";"2.785,42";"4.066,51";"2.151,55";"2.816,87";"3.380,37";"4.176,38";"2.829,99";"2.476,30";"2.688,20";"5.172,29";"6.052,86";"5.770,38";"3.645,80";"5.768,75";"3.584,75";"3.953,21";"5.769,09";"4.885,26";"4.129,45";"2.761,83";"6.187,76";"4.383,89";"4.421,64";"9.205,41";"9.699,03";"0,00";"173.822,29"
"Pacotes";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.550,00";"3.825,00";"4.650,00";"4.650,00";"6.000,00";"7.050,00";"8.025,00";"8.700,00";"9.600,00";"10.050,00";"10.350,00";"11.220,00";"10.880,00";"10.795,00";"10.455,00";"10.795,00";"11.220,00";"12.155,00";"11.390,00";"12.580,00";"10.710,00";"9.350,00";"8.840,00";"10.285,00";"6.375,00";"2.310,00";"1.365,00";"15.195,00";"19.215,00";"21.420,00";"21.870,00";"25.335,00";"23.715,00";"29.610,00";"30.060,00";"27.720,00";"30.150,00";"32.220,00";"31.500,00";"35.985,00";"32.674,00";"30.555,00";"32.220,00";"35.640,00";"41.900,00";"43.475,00";"38.610,00";"42.660,00";"42.300,00";"40.680,00";"0,00";"950.884,00"
"Vale Presente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"50,00";"0,00";"0,00";"0,00";"0,00";"250,00";"320,00";"0,00";"120,00";"140,00";"100,00";"0,00";"390,00";"0,00";"100,00";"180,00";"100,00";"75,00";"175,00";"0,00";"230,00";"0,00";"0,00";"0,00";"99,00";"0,00";"0,00";"307,00";"0,00";"198,00";"99,00";"307,00";"0,00";"99,00";"99,00";"0,00";"99,00";"0,00";"0,00";"495,00";"0,00";"99,00";"0,00";"0,00";"0,00";"0,00";"99,00";"0,00";"0,00";"4.230,00"
"Crédito de Cliente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,38";"5,20";"215,00";"0,00";"0,00";"50,00";"10,00";"70,00";"15,00";"105,00";"64,90";"20,45";"50,00";"75,00";"230,00";"175,00";"335,00";"338,00";"76,00";"245,00";"85,00";"257,77";"131,00";"20,00";"47,00";"130,00";"74,00";"47,00";"87,00";"17,00";"242,00";"308,38";"212,47";"222,00";"386,00";"67,00";"10,00";"115,00";"286,00";"210,00";"124,00";"238,00";"152,99";"407,00";"355,00";"291,11";"350,00";"0,00";"6.952,65"
"Consumo de Pré-pago";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-90,00";"-105,00";"0,00";"0,00";"-80,00";"-80,00";"-130,00";"-110,00";"-90,00";"-125,00";"-104,90";"-60,00";"-180,00";"-255,00";"-140,00";"-355,00";"-295,00";"-455,00";"-271,00";"-145,00";"-225,00";"-266,00";"-58,00";"-75,87";"-111,00";"-74,90";"-115,00";"-341,00";"-223,00";"-187,00";"-480,00";"-406,00";"-241,38";"-407,47";"-412,00";"-220,00";"-40,00";"-132,00";"-182,00";"-235,00";"-178,00";"-140,00";"-199,00";"-166,00";"-372,99";"-483,00";"-418,00";"0,00";"-9.460,51"
"Pagamento de Dívidas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Dívidas Deixadas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Vendas de Clube";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5.040,00";"13.455,00";"20.430,00";"5.355,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"4.860,00";"0,00";"49.140,00"
