""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"RECEITAS"
"Serviços";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"6.310,00";"28.354,00";"3.190,00";"21.065,00";"42.175,00";"51.140,00";"59.186,50";"52.180,00";"59.219,50";"69.635,00";"69.310,00";"95.820,00";"52.965,00";"58.195,00";"68.795,00";"81.780,00";"70.600,00";"73.835,00";"83.075,00";"76.340,00";"86.451,50";"86.555,50";"77.900,00";"96.695,00";"57.910,00";"58.683,75";"80.785,00";"78.220,00";"81.875,32";"82.800,00";"94.415,00";"89.319,00";"91.782,76";"91.543,00";"87.980,00";"124.913,00";"72.943,00";"62.258,00";"85.993,00";"85.059,00";"50.938,00";"101.193,00";"95.003,50";"99.518,40";"96.474,50";"90.083,75";"106.370,10";"126.157,20";"67.215,20";"70.202,40";"76.025,00";"79.871,43";"90.918,20";"87.592,70";"103.923,80";"101.467,20";"86.954,80";"91.198,50";"85.306,80";"0,00";"4.503.666,31"
"Produtos";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3.209,00";"9.964,72";"779,55";"3.596,84";"5.144,36";"4.792,64";"6.744,20";"3.348,66";"4.975,80";"6.721,92";"3.945,87";"5.435,26";"2.696,17";"2.343,23";"2.519,44";"3.480,67";"2.019,13";"2.048,74";"2.911,85";"3.405,55";"4.292,51";"2.618,14";"2.494,33";"4.096,43";"1.954,10";"7.153,51";"8.212,25";"7.427,77";"9.364,07";"5.875,12";"6.698,31";"6.419,30";"4.934,86";"5.694,87";"9.881,11";"15.636,36";"9.750,46";"5.767,48";"8.370,19";"5.172,94";"3.634,47";"6.902,59";"10.099,11";"6.259,59";"10.825,26";"6.061,78";"6.306,12";"8.307,81";"5.125,97";"6.234,22";"6.635,83";"8.273,97";"7.446,64";"10.388,60";"11.325,24";"10.744,67";"10.210,16";"7.139,57";"9.847,70";"0,00";"363.667,01"
"Pacotes";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"715,00";"1.755,00";"2.405,00";"2.600,00";"3.380,00";"3.633,50";"5.915,00";"7.215,00";"6.175,00";"7.345,00";"6.805,00";"8.095,00";"6.515,00";"5.400,00";"6.600,00";"5.925,00";"6.300,00";"6.375,00";"6.525,00";"7.500,00";"7.525,00";"7.810,00";"6.630,00";"6.885,00";"5.865,00";"5.355,00";"6.290,00";"5.440,00";"7.310,00";"6.545,00";"6.630,00";"3.570,00";"340,00";"680,00";"0,00";"0,00";"18.360,00";"17.190,00";"19.755,00";"18.765,00";"17.415,00";"18.360,00";"20.970,00";"21.465,00";"22.230,00";"22.770,00";"23.490,00";"25.650,00";"26.619,00";"27.175,00";"28.800,00";"26.550,00";"27.405,00";"27.814,00";"28.820,00";"29.205,00";"30.060,00";"30.825,00";"18.360,00";"0,00";"732.106,50"
"Vale Presente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"285,02";"490,00";"230,00";"565,00";"400,00";"205,00";"450,00";"530,00";"250,00";"0,00";"550,00";"100,00";"8.835,00";"500,00";"250,00";"600,00";"255,00";"505,00";"300,00";"1.100,00";"200,00";"405,00";"200,00";"700,00";"1.550,00";"385,00";"285,00";"640,00";"85,00";"355,00";"185,00";"1.330,00";"285,00";"0,00";"95,00";"95,00";"55,00";"1.245,00";"325,00";"1.190,00";"1.225,00";"400,00";"0,00";"1.065,00";"0,00";"89,00";"444,00";"118,00";"1.456,00";"346,00";"0,00";"977,00";"306,00";"1.452,00";"572,00";"0,00";"34.460,02"
"Crédito de Cliente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"27,00";"357,00";"16,00";"16,20";"176,10";"75,00";"90,10";"126,20";"40,00";"92,00";"152,00";"72,00";"62,10";"90,19";"101,00";"129,10";"359,00";"60,00";"155,26";"178,09";"28,00";"85,00";"50,25";"40,45";"127,00";"92,00";"47,00";"26,00";"82,00";"108,20";"71,48";"70,10";"201,00";"59,20";"85,74";"182,19";"291,00";"40,69";"477,69";"165,00";"80,00";"105,00";"555,00";"175,00";"400,00";"266,00";"52,00";"481,00";"279,00";"165,79";"161,00";"92,69";"50,00";"111,69";"39,00";"59,10";"393,00";"38,00";"39,48";"0,00";"8.247,08"
"Consumo de Pré-pago";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-27,00";"-90,00";"0,00";"-50,00";"-212,00";"-476,00";"-400,00";"-380,00";"-380,00";"-240,00";"-146,00";"-390,00";"-332,00";"-113,00";"-381,00";"-361,59";"-711,00";"-681,00";"-368,88";"-1.041,20";"-471,87";"-792,10";"-365,25";"-725,00";"-712,10";"-339,00";"-709,00";"-707,00";"-355,00";"-421,00";"-628,69";"-404,59";"-268,00";"-386,30";"-232,00";"-1.074,99";"-410,84";"-653,00";"-631,38";"-536,00";"-162,00";"-315,10";"-820,00";"-1.291,00";"-1.120,00";"-360,00";"-389,00";"-688,00";"-195,00";"-547,00";"-426,10";"-324,00";"-873,69";"-303,00";"-312,80";"-852,69";"-724,00";"-1.443,00";"-674,00";"0,00";"-29.424,16"
"Pagamento de Dívidas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Dívidas Deixadas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Vendas de Clube";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14.760,00";"16.785,00";"19.890,00";"0,00";"45,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"765,00";"5.220,00";"0,00";"57.465,00"
