""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"RECEITAS"
"Serviços";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"23.025,00";"43.785,00";"48.510,00";"51.450,00";"50.440,00";"76.680,00";"49.440,00";"54.645,00";"64.045,00";"63.950,00";"67.755,00";"75.305,00";"72.255,00";"67.740,00";"65.186,00";"57.597,00";"54.856,00";"71.158,50";"42.947,00";"48.374,00";"61.577,00";"54.515,00";"60.227,00";"59.370,00";"52.770,00";"58.022,00";"50.686,00";"55.679,00";"58.358,00";"63.007,00";"35.951,00";"42.878,00";"41.565,00";"34.326,20";"46.137,70";"44.922,60";"44.886,20";"48.948,70";"33.753,00";"41.372,20";"34.544,20";"0,00";"2.172.639,30"
"Produtos";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.967,10";"2.559,10";"1.948,50";"1.323,43";"1.528,10";"3.225,11";"2.369,34";"1.518,30";"2.534,62";"1.418,24";"2.061,51";"2.096,30";"1.437,71";"1.559,13";"1.597,73";"1.758,30";"1.479,63";"2.279,73";"1.209,27";"4.125,04";"3.789,51";"3.585,17";"4.911,18";"1.926,45";"2.965,86";"2.435,72";"4.499,67";"4.062,60";"4.592,40";"3.128,04";"932,73";"1.000,22";"1.769,85";"2.587,80";"3.369,27";"2.014,19";"2.567,97";"1.856,77";"2.695,41";"2.042,51";"1.938,67";"0,00";"99.668,18"
"Pacotes";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"510,00";"3.230,00";"3.655,00";"5.610,00";"4.845,00";"6.970,00";"13.260,00";"7.140,00";"10.455,00";"7.225,00";"7.225,00";"170,00";"1.615,00";"255,00";"0,00";"0,00";"85,00";"0,00";"4.050,00";"8.595,00";"10.620,00";"7.245,00";"10.575,00";"13.545,00";"12.600,00";"13.590,00";"14.805,00";"14.310,00";"14.895,00";"17.505,00";"17.975,00";"14.638,00";"13.950,00";"14.445,00";"12.555,00";"13.980,00";"18.794,00";"15.525,00";"13.410,00";"11.250,00";"14.130,00";"0,00";"375.237,00"
"Vale Presente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"480,00";"50,00";"200,00";"50,00";"50,00";"200,00";"50,00";"0,00";"750,00";"300,00";"100,00";"0,00";"150,00";"150,00";"0,00";"300,00";"0,00";"100,00";"0,00";"100,00";"210,00";"0,00";"0,00";"245,00";"0,00";"0,00";"0,00";"230,00";"110,00";"0,00";"0,00";"0,00";"705,20";"204,90";"99,00";"59,00";"100,00";"0,00";"59,00";"119,00";"100,00";"0,00";"5.271,10"
"Crédito de Cliente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"21,00";"52,20";"120,00";"36,00";"70,00";"92,00";"198,00";"93,00";"201,10";"50,00";"155,00";"180,10";"141,00";"138,00";"22,00";"45,00";"1,00";"1,00";"0,00";"136,00";"0,00";"0,00";"205,00";"190,00";"264,00";"95,00";"23,46";"20,00";"251,00";"11,00";"40,00";"50,00";"151,46";"83,00";"77,01";"171,00";"135,00";"72,80";"0,00";"0,00";"118,00";"0,00";"3.710,13"
"Consumo de Pré-pago";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-65,00";"-15,00";"-75,00";"-135,00";"-110,00";"-101,00";"-212,00";"-425,90";"-355,00";"-289,90";"-390,00";"-171,00";"-141,00";"-66,00";"-36,00";"-17,00";"-206,00";"0,00";"-60,00";"-100,00";"-170,00";"-75,00";"-161,00";"-273,00";"-235,00";"-145,10";"-198,46";"-524,00";"-223,00";"0,00";"0,00";"-535,00";"-200,90";"-293,00";"-190,00";"-157,10";"-267,10";"-59,00";"0,00";"-59,00";"0,00";"-6.736,46"
"Pagamento de Dívidas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Dívidas Deixadas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Vendas de Clube";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"8.325,00";"8.730,00";"14.175,00";"7.380,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"38.610,00"
