""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"RECEITAS"
"Serviços";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3.753,20";"90.091,10";"85.825,00";"82.929,00";"85.970,00";"88.235,00";"65.380,00";"72.034,00";"46.174,00";"6.663,00";"22.015,00";"32.733,00";"6.302,00";"26.660,00";"44.780,00";"60.132,00";"54.785,00";"64.551,00";"47.955,00";"42.630,00";"10.615,00";"49.394,00";"72.235,00";"74.795,00";"84.620,00";"80.535,00";"83.145,00";"96.480,50";"99.125,00";"115.930,00";"64.955,00";"71.890,00";"91.190,00";"96.990,00";"83.240,00";"93.139,40";"95.070,00";"101.600,00";"104.570,00";"114.205,00";"104.615,00";"114.915,50";"72.549,03";"69.880,00";"115.932,50";"93.417,30";"95.431,60";"97.272,00";"97.419,50";"110.723,20";"107.543,90";"103.905,90";"107.739,90";"112.610,20";"55.388,20";"59.484,00";"91.900,00";"92.479,00";"28.882,10";"97.534,00";"95.469,00";"95.966,00";"91.888,17";"109.180,00";"102.083,80";"98.195,00";"71.261,80";"78.476,40";"89.992,30";"97.080,50";"103.783,30";"107.587,60";"111.164,40";"123.035,40";"101.171,50";"106.710,40";"110.619,70";"0,00";"6.236.609,30"
"Produtos";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"799,01";"11.998,30";"8.348,74";"10.244,09";"8.351,40";"10.298,98";"5.856,95";"5.335,87";"3.874,17";"1.017,40";"4.203,10";"5.058,03";"1.179,03";"4.057,91";"4.220,76";"6.426,85";"5.189,78";"8.466,88";"4.341,97";"4.596,60";"1.190,00";"3.816,08";"5.300,35";"5.018,21";"5.090,08";"6.354,69";"6.232,63";"6.675,26";"6.597,55";"6.155,35";"4.464,16";"7.381,16";"6.612,36";"6.046,72";"5.201,77";"4.944,57";"6.714,96";"6.191,57";"5.598,42";"8.048,97";"6.477,42";"8.034,48";"4.730,45";"4.065,98";"8.555,12";"8.210,57";"6.346,76";"6.154,79";"4.828,78";"5.681,26";"5.412,88";"8.619,61";"7.646,16";"9.737,97";"4.619,50";"5.646,64";"4.744,76";"6.292,93";"1.587,33";"8.202,49";"5.260,47";"5.455,84";"7.403,31";"6.324,94";"6.563,63";"7.895,51";"5.902,12";"15.186,25";"11.744,00";"13.976,61";"15.849,50";"15.121,18";"16.320,12";"16.952,07";"17.118,47";"14.154,00";"21.309,89";"0,00";"555.634,47"
"Pacotes";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"7.670,00";"9.880,00";"12.025,00";"12.025,00";"12.545,00";"11.245,00";"12.025,00";"12.350,00";"13.165,00";"9.640,00";"9.815,00";"7.735,00";"8.125,00";"7.345,00";"9.165,01";"7.605,00";"8.905,00";"7.020,00";"6.500,00";"8.125,00";"7.375,00";"9.555,00";"8.540,00";"11.625,00";"13.425,00";"11.100,00";"14.850,00";"12.645,00";"16.275,00";"14.625,00";"12.300,00";"19.425,00";"15.300,00";"18.675,00";"17.250,00";"16.725,00";"18.940,00";"19.640,00";"20.910,00";"18.360,00";"20.740,00";"16.575,00";"14.875,00";"18.020,00";"14.025,00";"16.320,00";"14.875,00";"14.195,00";"15.130,00";"13.005,00";"13.770,00";"3.400,00";"0,00";"16.920,00";"26.055,00";"24.570,00";"29.970,00";"24.975,00";"28.305,00";"31.050,00";"28.440,00";"31.635,00";"30.375,00";"30.015,00";"36.839,00";"40.399,00";"35.345,00";"36.135,00";"37.305,00";"40.320,00";"43.445,00";"45.335,00";"46.980,00";"49.050,00";"47.025,00";"44.145,00";"0,00";"1.470.013,01"
"Vale Presente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"105,00";"0,00";"0,00";"1.010,00";"55,00";"465,00";"900,00";"0,00";"165,00";"0,00";"0,00";"35,00";"0,00";"0,00";"100,00";"170,00";"0,00";"0,00";"320,00";"0,00";"100,00";"225,00";"0,00";"300,00";"0,00";"70,00";"100,00";"380,00";"100,00";"0,00";"620,00";"0,00";"130,00";"0,00";"240,00";"350,00";"190,00";"725,00";"0,00";"575,00";"0,00";"500,00";"485,00";"65,00";"554,50";"75,00";"340,00";"120,00";"0,00";"90,00";"100,00";"920,40";"0,00";"0,00";"649,00";"100,00";"0,00";"295,00";"0,00";"0,00";"0,00";"961,00";"118,00";"663,00";"0,00";"355,00";"1.121,00";"246,00";"621,00";"59,00";"0,00";"128,00";"258,00";"239,00";"522,00";"0,00";"17.014,90"
"Crédito de Cliente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"49,00";"354,50";"604,50";"995,45";"638,20";"899,10";"406,90";"733,13";"215,00";"461,00";"194,07";"172,11";"20,00";"98,00";"39,31";"407,00";"192,90";"536,88";"189,00";"114,20";"11,00";"210,80";"1.395,30";"328,70";"140,00";"237,09";"512,00";"507,18";"309,51";"591,00";"131,00";"161,09";"343,98";"226,00";"420,00";"396,30";"485,00";"272,18";"328,59";"186,00";"500,10";"784,10";"330,00";"446,00";"316,84";"573,30";"451,00";"349,69";"475,30";"420,50";"465,10";"438,00";"795,00";"622,09";"403,80";"312,00";"370,00";"386,00";"199,00";"266,00";"157,00";"644,00";"245,00";"400,20";"495,00";"382,00";"396,09";"348,00";"533,48";"531,69";"300,79";"498,29";"268,10";"261,10";"181,19";"885,00";"305,64";"0,00";"30.249,36"
"Consumo de Pré-pago";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-32,00";"-110,50";"-425,50";"-832,32";"-585,20";"-1.091,45";"-532,90";"-879,23";"-338,00";"-80,00";"-221,00";"-237,20";"-45,50";"-122,00";"-217,41";"-239,31";"-484,00";"-468,58";"-431,10";"-144,00";"-60,00";"-242,00";"-555,00";"-590,00";"-386,00";"-215,00";"-450,00";"-749,50";"-313,00";"-423,00";"-255,99";"-150,00";"-422,00";"-347,00";"-410,00";"-300,00";"-470,00";"-505,00";"-515,00";"-723,69";"-614,00";"-1.001,00";"-564,13";"-435,10";"-830,00";"-494,30";"-1.021,00";"-349,49";"-795,00";"-700,70";"-500,00";"-489,20";"-593,10";"-766,20";"-388,30";"-345,20";"-663,00";"-323,00";"-172,00";"-390,74";"-236,00";"-426,98";"-286,00";"-1.193,20";"-269,90";"-506,10";"-260,00";"-379,00";"-676,69";"-448,60";"-1.049,00";"-868,19";"-433,59";"-258,48";"-441,00";"-614,79";"-655,00";"0,00";"-36.037,36"
"Pagamento de Dívidas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9,60";"44,90";"45,00";"0,00";"40,00";"25,00";"0,00";"113,90";"25,20";"0,00";"0,00";"0,00";"0,00";"0,00";"62,31";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"365,91"
"Dívidas Deixadas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-14,60";"-89,90";"-0,31";"-40,00";"-5,00";"-131,30";"-5,00";"-79,80";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-365,91"
"Vendas de Clube";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"855,00";"19.395,00";"25.695,00";"7.560,00";"0,00";"0,00";"0,00";"0,00";"90,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"90,00";"0,00";"225,00";"3.240,00";"0,00";"57.150,00"
