""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"RECEITAS"
"Serviços";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"17.305,00";"17.770,00";"19.060,00";"30.495,00";"25.473,00";"35.520,00";"38.865,00";"41.660,00";"44.220,50";"44.134,50";"39.526,00";"38.496,50";"41.740,00";"24.003,00";"27.214,00";"37.267,00";"36.477,90";"22.005,00";"36.048,00";"39.725,00";"44.888,00";"37.310,50";"41.313,00";"32.630,00";"29.606,00";"19.359,00";"24.670,00";"36.700,00";"42.566,00";"37.527,00";"37.717,00";"39.134,00";"41.889,00";"39.494,00";"49.684,00";"41.340,00";"0,00";"1.252.832,90"
"Produtos";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"1.573,40";"1.213,61";"1.015,70";"1.266,21";"1.135,70";"1.474,40";"1.376,62";"2.143,82";"891,00";"813,40";"1.311,63";"1.433,76";"1.590,60";"772,59";"1.537,50";"968,00";"1.037,90";"197,90";"1.714,00";"780,20";"1.005,54";"1.096,94";"1.398,40";"1.071,84";"2.272,64";"542,33";"503,50";"1.769,61";"1.556,50";"1.661,00";"650,20";"1.408,40";"679,51";"922,00";"464,50";"558,45";"0,00";"41.809,30"
"Pacotes";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"85,00";"170,00";"255,00";"510,00";"845,00";"1.105,00";"1.530,00";"1.445,00";"1.530,00";"1.275,00";"2.295,00";"765,00";"1.445,00";"340,00";"0,00";"85,00";"2.465,00";"765,00";"1.785,00";"1.360,00";"1.785,00";"1.485,00";"2.070,00";"810,00";"1.530,00";"1.939,00";"1.445,00";"1.800,00";"2.475,00";"2.475,00";"4.079,00";"3.529,00";"3.925,00";"3.690,00";"4.455,00";"2.925,00";"0,00";"60.472,00"
"Vale Presente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"150,00";"100,00";"50,00";"910,00";"400,00";"385,00";"555,00";"185,00";"305,00";"475,00";"635,00";"45,00";"185,00";"200,00";"100,00";"100,00";"220,00";"250,00";"300,00";"235,00";"150,00";"335,00";"55,00";"500,00";"110,00";"380,00";"290,00";"0,00";"90,00";"145,00";"145,00";"0,00";"90,00";"90,00";"695,00";"145,00";"0,00";"9.005,00"
"Crédito de Cliente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"9,20";"5,00";"25,00";"10,00";"13,00";"0,00";"20,00";"5,00";"10,00";"25,00";"5,00";"15,00";"45,00";"0,00";"90,00";"55,00";"16,00";"10,00";"0,00";"150,00";"52,00";"26,00";"0,00";"10,00";"0,00";"0,00";"0,00";"0,00";"0,00";"30,00";"0,00";"74,10";"0,00";"25,00";"0,00";"40,00";"0,00";"765,30"
"Consumo de Pré-pago";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-50,00";"-95,00";"0,00";"-605,00";"-120,00";"-595,00";"-495,00";"-235,00";"-45,00";"-180,00";"0,00";"-570,00";"-195,00";"-50,00";"-95,00";"-10,00";"-95,00";"0,00";"-275,00";"-95,00";"-345,00";"-25,00";"-50,00";"-250,00";"0,00";"-205,00";"-200,00";"-100,00";"-265,00";"-55,00";"-125,00";"-55,00";"-90,00";"0,00";"-105,00";"-200,00";"0,00";"-5.875,00"
"Pagamento de Dívidas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"477,90";"0,00";"85,00";"0,00";"0,00";"0,00";"0,00";"0,00";"65,00";"0,00";"25,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"40,00";"0,00";"0,00";"0,00";"0,00";"692,90"
"Dívidas Deixadas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-185,80";"-350,00";"-50,00";"-130,00";"0,00";"-10,00";"0,00";"-110,00";"0,00";"0,00";"-65,00";"0,00";"0,00";"0,00";"0,00";"-5,00";"-5,00";"-5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-40,00";"-55,00";"-1,00";"-3,00";"0,00";"0,00";"0,00";"0,00";"-20,00";"-5,00";"0,00";"-1.039,80"
"Vendas de Clube";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
