""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"RECEITAS"
"Serviços";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"40.555,00";"34.830,00";"37.120,00";"66.650,00";"58.885,00";"76.584,90";"88.643,70";"84.440,50";"96.690,00";"95.125,00";"103.045,00";"92.295,00";"121.587,10";"59.759,00";"57.219,00";"94.670,00";"90.269,00";"37.570,00";"86.249,00";"90.299,20";"112.873,90";"106.992,40";"115.615,40";"112.693,00";"125.792,60";"72.295,00";"75.965,00";"97.639,00";"104.181,00";"119.345,60";"111.049,00";"117.370,60";"137.355,40";"130.130,80";"132.938,60";"131.963,40";"0,00";"3.316.687,10"
"Produtos";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.676,52";"1.732,88";"2.895,80";"3.583,00";"2.005,59";"3.156,20";"2.543,00";"2.643,70";"4.033,90";"2.864,63";"3.399,93";"3.246,84";"6.348,26";"2.159,13";"1.408,02";"4.403,94";"2.750,27";"2.036,75";"3.466,03";"3.414,19";"2.361,95";"4.435,47";"5.374,85";"5.297,19";"7.324,47";"3.064,49";"2.929,40";"5.304,69";"4.772,30";"4.590,54";"5.723,58";"7.754,91";"6.211,99";"7.283,06";"5.661,59";"7.774,50";"0,00";"146.633,56"
"Pacotes";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"255,00";"680,00";"1.105,00";"1.360,00";"1.615,00";"2.550,00";"2.295,00";"1.955,00";"3.060,00";"3.910,00";"0,00";"85,00";"5.355,00";"13.680,00";"17.460,00";"18.990,00";"18.090,00";"21.600,00";"23.310,00";"25.200,00";"27.810,00";"29.655,00";"31.365,00";"31.545,00";"33.251,00";"31.769,00";"31.410,00";"33.030,00";"35.100,00";"38.529,00";"37.444,00";"42.615,00";"41.760,00";"43.020,00";"43.425,00";"0,00";"694.283,00"
"Vale Presente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"50,00";"240,00";"300,00";"100,00";"495,00";"0,00";"220,00";"250,00";"185,00";"905,00";"99,00";"0,00";"297,00";"159,00";"138,00";"0,00";"99,00";"0,00";"118,00";"677,00";"0,00";"99,00";"124,00";"503,00";"0,00";"0,00";"385,00";"0,00";"1.343,20";"129,00";"217,00";"0,00";"89,00";"118,00";"59,00";"0,00";"7.398,20"
"Crédito de Cliente";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"60,00";"25,00";"99,10";"35,00";"21,00";"31,00";"7,00";"19,10";"5,00";"14,09";"103,60";"40,00";"62,00";"64,00";"13,00";"88,00";"81,05";"24,10";"204,08";"82,00";"53,28";"65,19";"162,30";"313,32";"89,28";"110,00";"87,00";"38,00";"110,00";"127,00";"48,69";"246,00";"132,30";"287,00";"192,00";"66,48";"0,00";"3.205,96"
"Consumo de Pré-pago";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-50,00";"0,00";"-115,00";"-65,00";"0,00";"-160,00";"-240,00";"-200,00";"-273,10";"-125,00";"-345,00";"-415,00";"-289,00";"-65,00";"-58,00";"-112,00";"-260,10";"-28,00";"-6,00";"-171,00";"-257,10";"-126,00";"-100,20";"-128,56";"-260,38";"-202,00";"-282,00";"-293,00";"-104,10";"-620,00";"-487,00";"-247,00";"-558,00";"-256,00";"-448,20";"-204,60";"0,00";"-7.551,34"
"Pagamento de Dívidas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,00";"0,00";"0,00";"0,00";"0,00";"9,00";"16,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"47,90";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"77,90"
"Dívidas Deixadas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-20,00";"-30,00";"0,00";"0,00";"0,00";"-5,00";"0,00";"0,00";"0,00";"0,00";"-516,00";"0,00";"-16,90";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-587,90"
"Vendas de Clube";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"10.035,00";"12.195,00";"6.030,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"28.260,00"
